"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,screening_form,,text,"Study ID",,,,,,,,,,,,,
ts_0,screening_form,,text,"Timestamp for the screening form",,,datetime_dmy,,,,,y,,,,," @HIDDEN @NOW_UTC"
inclusion_yn,screening_form,,yesno,"<div class=""rich-text-field-label""><p>Do you intend to make a report on a patient who has a presumptive or lab-proven diagnosis of COVID-19 <span style=""text-decoration: underline;"">and</span> has a current or past medical history of an <span style=""text-decoration: underline;"">invasive</span> malignancy?</p> <p><span style=""color: #236fa1; font-weight: normal;"">Invasive malignancy is defined as any solid tumor other than <em>in situ</em> cancers (stage 0), and any hematologic malignancies other than precursor hematologic neoplasms (e.g., MGUS or monoclonal B lymphocytosis of undetermined significance).</span></p></div>",,,,,,,,y,,,,,
exclude,screening_form,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; color: #236fa1;"">We're sorry, but this survey is is intended to report on patients with COVID-19 and cancer. Non-melanoma skin cancer, <em>in situ</em> cancers, and premalignant conditions are excluded.</span></p> <p><span style=""color: #236fa1;"">Please click the button to exit the survey.</span></p></div>","x, Exit the survey",,,,,,"[inclusion_yn] = '0'",y,,,,,
previous_report,screening_form,,radio,"Have you previously reported this patient to this or any other registry?","1, No | 2, This registry | 3, Another registry",,,,,,"[inclusion_yn] = '1'",y,,,,,
this_registry,screening_form,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; color: #236fa1;"">If you have additional follow-up information to add to an existing report, you should return to that report and update the content.</span></p></div>",,,,,,,"[previous_report] = '2'",,,,,,
registry_other,screening_form,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; color: #236fa1;"">Please feel free to fill out the survey. In order to help us avoid duplication with other complementary efforts, please optionally list the names of the other registries that you have reported to.</span></p></div>",,,,,,,"[previous_report] = '3'",,,,,,
ccc19,screening_form,,yesno,"Are you reporting on behalf on an institution participating in the CCC19 consortium?",,,,,,,"[inclusion_yn] = '1'",y,,,,,
ccc19_exclude,screening_form,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; color: #236fa1;"">We're sorry, but this survey is currently open only to respondents who are at a CCC19 participating institution. The attached FAQ provides some details about getting involved as a participating institution.</span></p> <p><span style=""font-weight: normal; color: #236fa1;"">If you would like your site to get involved, please contact us through the CCC19 website.</span></p></div>",,,,,,,"[ccc19] = '0'",y,,,,,
ccc19_exclude_2,screening_form,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; color: #236fa1;"">Please click the button below to exit the survey.</span></p></div>","x, Exit the survey",,,,,,"[ccc19] = '0'",y,,,,,
